,Player,Year,Club
3544,Ousoumane Camara,2020-2022,Paris FC
3545,Ousoumane Camara,2022-,Angers SCO
3546,Ousoumane Camara,2021-,France -19 ans
3547,Alban Lafont,2005-2008,EF Ouagadougou
3548,Alban Lafont,2008-2014,AS Lattes FC
3549,Alban Lafont,2014-2015,Toulouse FC
3550,Alban Lafont,2015-2018,Toulouse FC
3551,Alban Lafont,2018-2019,ACF Fiorentina
3552,Alban Lafont,2019-,FC Nantes
3553,Alban Lafont,2015,France -16 ans
3554,Alban Lafont,2015,France -17 ans
3555,Alban Lafont,2016,France -18 ans
3556,Alban Lafont,2017-2018,France -19 ans
3557,Alban Lafont,2017-2019,France -20 ans
3558,Alban Lafont,2019-2021,France espoirs
3559,Alban Lafont,2022-,France
3560,Andrei Girotto,2009,Esportivo BG
3561,Andrei Girotto,2009,CA Metropolitano
3562,Andrei Girotto,2010-2013,CA Metropolitano
3563,Andrei Girotto,2011,Hercílio Luz FC
3564,Andrei Girotto,2013-2017,Tombense FC
3565,Andrei Girotto,2013-2014,América FC
3566,Andrei Girotto,2015,SE Palmeiras
3567,Andrei Girotto,2016,Kyoto Sanga
3568,Andrei Girotto,2017,Chapecoense
3569,Andrei Girotto,2017-,FC Nantes
3570,Ludovic Blas,2003-2005,
3571,Ludovic Blas,2005-2009,
3572,Ludovic Blas,2009-2013,
3573,Ludovic Blas,2013-2015,EA Guingamp
3574,Ludovic Blas,2015-2019,EA Guingamp
3575,Ludovic Blas,2019-2023,FC Nantes
3576,Ludovic Blas,2023-,Stade rennais FC
3577,Ludovic Blas,2014,France -17 ans
3578,Ludovic Blas,2016,France -19 ans
3579,Ludovic Blas,2016-2018,France -20 ans
3580,Jean-Charles Castelletto,2010-2013,AJ Auxerre
3581,Jean-Charles Castelletto,2013-2015,AJ Auxerre
3582,Jean-Charles Castelletto,2015-2017,Club Bruges
3583,Jean-Charles Castelletto,2016,Royal Mouscron
3584,Jean-Charles Castelletto,2016-2017,Red Star FC
3585,Jean-Charles Castelletto,2017-2020,Stade brestois
3586,Jean-Charles Castelletto,2020-,FC Nantes
3587,Jean-Charles Castelletto,2010-2011,France -16 ans
3588,Jean-Charles Castelletto,2011-2012,France -17 ans
3589,Jean-Charles Castelletto,2013,France -18 ans
3590,Jean-Charles Castelletto,2013,France -19 ans
3591,Jean-Charles Castelletto,2014-2015,France -20 ans
3592,Jean-Charles Castelletto,2017-,Cameroun
3593,Moses Simon,2013,Ajax Amsterdam
3594,Moses Simon,2014-2015,AS Trenčín
3595,Moses Simon,2015-2018,KAA La Gantoise
3596,Moses Simon,2018-2020,Levante UD
3597,Moses Simon,2019-2020,FC Nantes
3598,Moses Simon,2020-,FC Nantes
3599,Moses Simon,2013-2014,Nigeria - 20 ans
3600,Moses Simon,2015-,Nigeria
3601,Nicolas Pallois,2006-2010,US Quevilly
3602,Nicolas Pallois,2010-2012,Valenciennes FC
3603,Nicolas Pallois,2011-2012,Stade lavallois
3604,Nicolas Pallois,2012-2014,Chamois niortais
3605,Nicolas Pallois,2014-2017,Girondins de Bordeaux
3606,Nicolas Pallois,2017-,FC Nantes
3607,Samuel Moutoussamy,2011,Montrouge FC 92
3608,Samuel Moutoussamy,2009-2011,INF Clairefontaine
3609,Samuel Moutoussamy,2011-2016,Olympique lyonnais
3610,Samuel Moutoussamy,2016-2018,FC Nantes
3611,Samuel Moutoussamy,2018-,FC Nantes
3612,Samuel Moutoussamy,2020-2021,Fortuna Sittard
3613,Samuel Moutoussamy,2019-,RD Congo
3614,Pedro Chirivella,2004-2013,Valence CF
3615,Pedro Chirivella,2013-2015,Liverpool FC
3616,Pedro Chirivella,2015-2020,Liverpool FC
3617,Pedro Chirivella,2017,Go Ahead Eagles
3618,Pedro Chirivella,2017-2018,Willem II
3619,Pedro Chirivella,2019,Extremadura UD
3620,Pedro Chirivella,2020-,FC Nantes
3621,Pedro Chirivella,2012-2014,Espagne -17 ans
3622,Moussa Sissoko,1999-2001,Red Star
3623,Moussa Sissoko,2002-2007,Toulouse FC
3624,Moussa Sissoko,2007-2013,Toulouse FC
3625,Moussa Sissoko,2013-2016,Newcastle United
3626,Moussa Sissoko,2016-2021,Tottenham Hotspur
3627,Moussa Sissoko,2021-2022,Watford FC
3628,Moussa Sissoko,2022-,FC Nantes
3629,Moussa Sissoko,2005,France -16 ans
3630,Moussa Sissoko,2005-2006,France -17 ans
3631,Moussa Sissoko,2006-2007,France -18 ans
3632,Moussa Sissoko,2007-2008,France -19 ans
3633,Moussa Sissoko,2008-2011,France espoirs
3634,Moussa Sissoko,2009-2021,France
3635,Mostafa Mohamed,-2016,Zamalek SC
3636,Mostafa Mohamed,2016-2022,Zamalek SC
3637,Mostafa Mohamed,2016-2017,El Dakhleya SC
3638,Mostafa Mohamed,2018-2019,Tala'ea El Geish
3639,Mostafa Mohamed,2021-2022,Galatasaray SK
3640,Mostafa Mohamed,2022-2023,Galatasaray SK
3641,Mostafa Mohamed,2022-2023,FC Nantes
3642,Mostafa Mohamed,2023-,FC Nantes
3643,Mostafa Mohamed,2017,Égypte -20 ans
3644,Mostafa Mohamed,2018-,Égypte olympique
3645,Mostafa Mohamed,2019-,Égypte
3646,Quentin Merlin,2015-2021,FC Nantes
3647,Quentin Merlin,2021-,FC Nantes
3648,Quentin Merlin,2017-2018,France -16 ans
3649,Quentin Merlin,2018-2019,France -17 ans
3650,Quentin Merlin,2019-2020,France -18 ans
3651,Quentin Merlin,2021,France -20 ans
3652,Quentin Merlin,2022-,France espoirs
3653,Fabien Centonze,2012-2015,Évian TG
3654,Fabien Centonze,2015-2016,Évian TG
3655,Fabien Centonze,2016-2018,Clermont Foot
3656,Fabien Centonze,2018-2019,RC Lens
3657,Fabien Centonze,2019-2022,FC Metz
3658,Fabien Centonze,2022-,FC Nantes
3659,Evann Guessand,2020-,OGC Nice
3660,Evann Guessand,2020-2021,FC Lausanne-Sport
3661,Evann Guessand,2022-2023,FC Nantes
3662,Evann Guessand,2017,France -16 ans
3663,Evann Guessand,2018,France -17 ans
3664,Evann Guessand,2019,France -18 ans
3665,Evann Guessand,2019,France -19 ans
3666,Ignatius Ganago,2017-2020,OGC Nice
3667,Ignatius Ganago,2020-2022,RC Lens
3668,Ignatius Ganago,2022-,FC Nantes
3669,Ignatius Ganago,2019-,Cameroun
3670,Florent Mollet,2010-2015,Dijon FCO
3671,Florent Mollet,2012-2015,Dijon FCO
3672,Florent Mollet,2015-2016,US Créteil-Lusitanos
3673,Florent Mollet,2016-2018,FC Metz
3674,Florent Mollet,2018-2022,Montpellier HSC
3675,Florent Mollet,2022-2023,Schalke 04
3676,Florent Mollet,2023-,FC Nantes
3677,Dennis Appiah,2004-2007,Toulouse Fontaines
3678,Dennis Appiah,2007-2011,AS Monaco
3679,Dennis Appiah,2011-2013,AS Monaco
3680,Dennis Appiah,2013-2016,SM Caen
3681,Dennis Appiah,2016-2019,RSC Anderlecht
3682,Dennis Appiah,2019-2023,FC Nantes
3683,Dennis Appiah,2023-,AS Saint-Étienne
3684,Dennis Appiah,2007-2008,France -16 ans
3685,Dennis Appiah,2008-2009,France -17 ans
3686,Dennis Appiah,2009-2010,France -18 ans
3687,Dennis Appiah,2010-2011,France -19 ans
3688,Dennis Appiah,2011-2012,France -20 ans
3689,Dennis Appiah,2011-2012,France espoirs
3690,Jaouen Hadjam,2014-2015,Paris Saint-Germain
3691,Jaouen Hadjam,2015-2018,US Créteil
3692,Jaouen Hadjam,2018-2020,Paris FC
3693,Jaouen Hadjam,2020-2023,Paris FC
3694,Jaouen Hadjam,2023-,FC Nantes
3695,Jaouen Hadjam,2020,France -17 ans
3696,Jaouen Hadjam,2022,France -19 ans
3697,Jaouen Hadjam,2022,France -20 ans
3698,Jaouen Hadjam,2023-,Algérie
3699,João Victor,2014-2015,Botafogo FC
3700,João Victor,2015-2017,Coimbra Sports
3701,João Victor,2015-2017,Atlético Mineiro
3702,João Victor,2017,SC Corinthians
3703,João Victor,2018-2020,SC Corinthians
3704,João Victor,2020-2022,SC Corinthians
3705,João Victor,2020,Inter de Limeira
3706,João Victor,2020-2021,Atlético Goianiense
3707,João Victor,2022-,Benfica Lisbonne
3708,João Victor,2023-,FC Nantes
3709,Sébastien Corchia,1996-1998,
3710,Sébastien Corchia,1998-2003,Villemomble Sports
3711,Sébastien Corchia,2003-2004,
3712,Sébastien Corchia,2003-2006,INF Clairefontaine
3713,Sébastien Corchia,2006-2008,Le Mans UC 72
3714,Sébastien Corchia,2008-2011,Le Mans FC
3715,Sébastien Corchia,2011-2014,FC Sochaux
3716,Sébastien Corchia,2014-2017,LOSC Lille
3717,Sébastien Corchia,2017-2020,Séville FC
3718,Sébastien Corchia,2018-2019,Benfica Lisbonne
3719,Sébastien Corchia,2019-2020,Espanyol de Barcelone
3720,Sébastien Corchia,2020-2023,FC Nantes
3721,Sébastien Corchia,2023-,Amiens SC
3722,Sébastien Corchia,2007,France -17 ans
3723,Sébastien Corchia,2008,France -18 ans
3724,Sébastien Corchia,2008-2009,France -19 ans
3725,Sébastien Corchia,2009-2012,France espoirs
3726,Sébastien Corchia,2016,France
3727,Andy Delort,1997-1999,FC Sète 34
3728,Andy Delort,2000-2002,FC Sète 34
3729,Andy Delort,2003-2007,FC Sète
3730,Andy Delort,2007-2008,FC Sète B
3731,Andy Delort,2008-2009,AC Ajaccio
3732,Andy Delort,2009-2010,Nîmes Olympique
3733,Andy Delort,2010-2013,AC Ajaccio
3734,Andy Delort,2012,FC Metz
3735,Andy Delort,2013-2014,Tours FC
3736,Andy Delort,2014-2015,Wigan AFC
3737,Andy Delort,2015,Tours FC
3738,Andy Delort,2015-2016,SM Caen
3739,Andy Delort,2016-2017,Tigres UANL
3740,Andy Delort,2017-2018,Toulouse FC
3741,Andy Delort,2018-2021,Montpellier HSC
3742,Andy Delort,2021-2023,OGC Nice
3743,Andy Delort,2023,FC Nantes
3744,Andy Delort,2023-,Umm Salal SC
3745,Charles Traore,2014-2015,FC Nantes
3746,Charles Traore,2015-2018,ES Troyes AC
3747,Charles Traore,2018-,FC Nantes
3748,Charles Traore,2016-,Mali
3749,Marcus Coco,2005-2012,SS Baie-Mahault
3750,Marcus Coco,2012,JA Drancy
3751,Marcus Coco,2013-2014,EA Guingamp
3752,Marcus Coco,2014-2019,EA Guingamp
3753,Marcus Coco,2019-,FC Nantes
3754,Marcus Coco,2015-2019,France espoirs
3755,Rémy Descamps,2002-2010,LOSC Lille
3756,Rémy Descamps,2010-2011,Tarbes PF
3757,Rémy Descamps,2011-2013,Clermont Foot
3758,Rémy Descamps,2013-2015,Paris Saint-Germain
3759,Rémy Descamps,2015-2018,Paris Saint-Germain
3760,Rémy Descamps,2018-2019,Paris Saint-Germain
3761,Rémy Descamps,2018,Tours FC
3762,Rémy Descamps,2018-2019,Clermont Foot
3763,Rémy Descamps,2019-2021,Charleroi SC
3764,Rémy Descamps,2021-,FC Nantes
3765,Abdoul Kader Bamba,2011-2012,CS Sedan-Ardennes
3766,Abdoul Kader Bamba,2012-2013,CS Sedan-Ardennes
3767,Abdoul Kader Bamba,2013-2016,
3768,Abdoul Kader Bamba,2016-2018,Le Mans FC
3769,Abdoul Kader Bamba,2018-,FC Nantes
3770,Abdoul Kader Bamba,2019-,FC Nantes
3771,Abdoul Kader Bamba,2021-2022,Amiens SC
3772,Abdoul Kader Bamba,2023-,AS Saint-Étienne
3773,Lohann Doucet,2015-2022,FC Nantes
3774,Lohann Doucet,2022-,FC Nantes
3775,Junior Diaz,2008-2010,Wisła Cracovie
3776,Junior Diaz,2010-2012,FC Bruges
3777,Junior Diaz,2011-2012,Wisła Cracovie
3778,Junior Diaz,2012-2015,FSV Mayence
3779,Junior Diaz,2015-2016,SV Darmstadt 98
3780,Junior Diaz,2016-2017,Würzburger Kickers
3781,Junior Diaz,2017-2019,CS Herediano
3782,Junior Diaz,2019-,LD Alajuelense
3783,Junior Diaz,2002,Costa Rica -20 ans
3784,Junior Diaz,2003-2004,Costa Rica olympique
3785,Junior Diaz,2003-2016,Costa Rica
3786,Benjamin Leroy,1999-2000,Saint-Denis Saint-Leu FC
3787,Benjamin Leroy,2000-2004,AS Nancy-Lorraine
3788,Benjamin Leroy,2004-2009,LB Châteauroux
3789,Benjamin Leroy,2009-2014,Tours FC
3790,Benjamin Leroy,2014-2016,Évian Thonon Gaillard
3791,Benjamin Leroy,2016-2018,Dijon FCO
3792,Benjamin Leroy,2018-2023,AC Ajaccio
3793,Benjamin Leroy,2023-,Union sportive Quevilly Rouen Métropole
3794,Mounaim El Idrissy,2010-2011,ES Vitrolles
3795,Mounaim El Idrissy,2012-2013,Olympique de Marseille
3796,Mounaim El Idrissy,2015-2018,AC Ajaccio
3797,Mounaim El Idrissy,2018-,AC Ajaccio
3798,Oumar Gonzalez,2013-2015,FC Metz
3799,Oumar Gonzalez,2015-2019,FC Metz
3800,Oumar Gonzalez,2016-2017,SAS Épinal
3801,Oumar Gonzalez,2017-2018,Rodez AF
3802,Oumar Gonzalez,2018-2019,FC Villefanche Beaujolais
3803,Oumar Gonzalez,2019-2021,FC Chambly Oise
3804,Oumar Gonzalez,2021-,AC Ajaccio
3805,Oumar Gonzalez,2019-,Cameroun olympique
3806,Oumar Gonzalez,2023-,Cameroun
3807,Vincent Marchetti,2015-2016,AC Ajaccio
3808,Vincent Marchetti,2016-2020,AS Nancy-Lorraine
3809,Vincent Marchetti,2020-,AC Ajaccio
3810,Vincent Marchetti,2016,France -19 ans
3811,Vincent Marchetti,2016-,Corse
3812,Mohamed Youssouf,2007-2010,Le Havre AC
3813,Mohamed Youssouf,2010-2011,US Créteil-Lusitanos
3814,Mohamed Youssouf,2011-2013,Vannes OC
3815,Mohamed Youssouf,2013-2014,Amiens SC
3816,Mohamed Youssouf,2014-2015,PAE Ergotelis
3817,Mohamed Youssouf,2015-2016,PAE Veria
3818,Mohamed Youssouf,2017-2018,APO Levadiakos
3819,Mohamed Youssouf,2018-,AC Ajaccio
3820,Mohamed Youssouf,2011-,Comores
3821,Ismael Diallo,2015-2017,SC Bastia B
3822,Ismael Diallo,2017-2019,SC Bastia
3823,Ismael Diallo,2019-2023,AC Ajaccio
3824,Ismael Diallo,2013,Côte d'Ivoire -17 ans
3825,Ismael Diallo,2015,Côte d'Ivoire -20 ans
3826,Ismael Diallo,2019,Côte d'Ivoire -23 ans
3827,Cyrille Bayala,2014-2016,El Dakhleya
3828,Cyrille Bayala,2016-2017,Sheriff Tiraspol
3829,Cyrille Bayala,2017-2021,RC Lens
3830,Cyrille Bayala,2019,FC Sochaux-Montbéliard
3831,Cyrille Bayala,2019-2020,AC Ajaccio
3832,Cyrille Bayala,2021-,AC Ajaccio
3833,Cyrille Bayala,2013-,Burkina Faso
3834,Mathieu Coutadeur,,
3835,Mathieu Coutadeur,1996-1999,
3836,Mathieu Coutadeur,1999-2004,Le Mans UC 72
3837,Mathieu Coutadeur,2004-2006,Le Mans UC 72 B
3838,Mathieu Coutadeur,2006-2009,Le Mans UC 72
3839,Mathieu Coutadeur,2009-2011,AS Monaco
3840,Mathieu Coutadeur,2011-2015,FC Lorient
3841,Mathieu Coutadeur,2015-2016,AEL Limassol
3842,Mathieu Coutadeur,2016-2017,Stade lavallois
3843,Mathieu Coutadeur,2017-2023,AC Ajaccio
3844,Mathieu Coutadeur,2023-,Le Mans FC
3845,Mathieu Coutadeur,2003-2004,France -18 ans
3846,Mathieu Coutadeur,2004-2005,France -19 ans
3847,Mathieu Coutadeur,2005-2006,France -20 ans
3848,Mathieu Coutadeur,2006-2008,France espoirs
3849,Cédric Avinel,1999-2002,
3850,Cédric Avinel,2002-2003,
3851,Cédric Avinel,2003-2006,US Créteil-Lusitanos
3852,Cédric Avinel,2006-2007,US Créteil-Lusitanos
3853,Cédric Avinel,2007-2009,Watford FC
3854,Cédric Avinel,2007,Stafford Rangers
3855,Cédric Avinel,2009-2010,FC Gueugnon
3856,Cédric Avinel,2010-2011,AS Cannes
3857,Cédric Avinel,2011-2017,Clermont Foot
3858,Cédric Avinel,2017-,AC Ajaccio
3859,Cédric Avinel,2008-,Guadeloupe
3860,Clément Vidal,2011-2014,
3861,Clément Vidal,2014-2019,Montpellier HSC
3862,Clément Vidal,2019-2022,Montpellier HSC
3863,Clément Vidal,2021-2022,AC Ajaccio
3864,Clément Vidal,2022-,AC Ajaccio
3865,Clément Vidal,2016,France -16 ans
3866,Clément Vidal,2018,France -18 ans
3867,Youcef Belaïli,2009-2010,CA Bordj Bou Arreridj
3868,Youcef Belaïli,2010-2012,MC Oran
3869,Youcef Belaïli,2012-2014,ES Tunis
3870,Youcef Belaïli,2014-2015,USM Alger
3871,Youcef Belaïli,2017-2018,Angers SCO
3872,Youcef Belaïli,2018-2019,ES Tunis
3873,Youcef Belaïli,2019-2020,Al-Ahli SC
3874,Youcef Belaïli,2020-2021,Qatar SC
3875,Youcef Belaïli,2022,Stade brestois 29
3876,Youcef Belaïli,2022-2023,AC Ajaccio
3877,Youcef Belaïli,2010-2011,Algérie espoirs
3878,Youcef Belaïli,2015-,Algérie
3879,Riad Nouri,2013-2015,Nîmes Olympique
3880,Riad Nouri,2015-2019,AC Ajaccio
3881,Riad Nouri,2019-2020,Ümraniyespor
3882,Riad Nouri,2020-,AC Ajaccio
3883,Romain Hamouma,1998-2001,ASM Belfort
3884,Romain Hamouma,2001-2005,FC Sochaux
3885,Romain Hamouma,2005-2009,Racing Besançon
3886,Romain Hamouma,2009-2010,Stade lavallois
3887,Romain Hamouma,2010-2012,SM Caen
3888,Romain Hamouma,2012-2022,AS Saint-Étienne
3889,Romain Hamouma,2022-,AC Ajaccio
3890,Mickaël Alphonse,2010-2011,FC Rouen
3891,Mickaël Alphonse,2011-2013,AS Moulins
3892,Mickaël Alphonse,2013-2016,Bourg-en-Bresse 01
3893,Mickaël Alphonse,2016-2018,FC Sochaux-Montbéliard
3894,Mickaël Alphonse,2018-2020,Dijon FCO
3895,Mickaël Alphonse,2020-2021,Amiens SC
3896,Mickaël Alphonse,2021-2022,Maccabi Haïfa
3897,Mickaël Alphonse,2022-,AC Ajaccio
3898,Mickaël Alphonse,2018-,Guadeloupe
3899,Thomas Mangani,2000-2001,
3900,Thomas Mangani,2001-2002,
3901,Thomas Mangani,2002-2005,AS Monaco
3902,Thomas Mangani,2005-2012,AS Monaco
3903,Thomas Mangani,2007,Stade brestois 29
3904,Thomas Mangani,2007-2008,AC Ajaccio
3905,Thomas Mangani,2011-2012,AS Nancy-Lorraine
3906,Thomas Mangani,2012-2014,AS Nancy-Lorraine
3907,Thomas Mangani,2014-2015,Chievo Vérone
3908,Thomas Mangani,2015,Angers SCO
3909,Thomas Mangani,2015-2022,Angers SCO
3910,Thomas Mangani,2022-,AC Ajaccio
3911,Thomas Mangani,2004,France -17 ans
3912,Thomas Mangani,2007,France espoirs
3913,Youssouf Koné,2013-2019,LOSC Lille
3914,Youssouf Koné,2017-2018,Stade de Reims
3915,Youssouf Koné,2019-,Olympique lyonnais
3916,Youssouf Koné,2020-2021,Elche CF
3917,Youssouf Koné,2021,Hatayspor
3918,Youssouf Koné,2021-2022,ES Troyes AC
3919,Youssouf Koné,2022,AC Ajaccio
3920,Youssouf Koné,2014-2015,Mali -20 ans
3921,Youssouf Koné,2015-,Mali
3922,Mickaël Barreto,-2009,ES Troyes AC
3923,Mickaël Barreto,2009-2015,ES Troyes AC
3924,Mickaël Barreto,2012-2013,Fréjus Saint-Raphaël
3925,Mickaël Barreto,2013,AS Cannes
3926,Mickaël Barreto,2014-2015,US Avranches
3927,Mickaël Barreto,2015-2017,US Orléans
3928,Mickaël Barreto,2017-2020,AJ Auxerre
3929,Mickaël Barreto,2020-,AC Ajaccio
3930,Kevin Spadanuda,-2008,GC Zurich
3931,Kevin Spadanuda,2008-2016,FC Aarau
3932,Kevin Spadanuda,2018-2019,FC Baden
3933,Kevin Spadanuda,2019-2022,FC Aarau
3934,Kevin Spadanuda,2022-2023,AC Ajaccio
3935,Kevin Spadanuda,2023-,FC Lucerne
3936,Fernand Mayembo,2013-2015,LB Châteauroux
3937,Fernand Mayembo,2016-2017,Chamois niortais
3938,Fernand Mayembo,2016-2017,Grenoble Foot 38
3939,Fernand Mayembo,2017-2018,Grenoble Foot 38
3940,Fernand Mayembo,2018-2022,Le Havre AC
3941,Fernand Mayembo,2022-,AC Ajaccio
3942,Fernand Mayembo,2017-,Congo
3943,Bevic Moussiti-Oko,-,Wasquehal Football
3944,Bevic Moussiti-Oko,-,US Lesquin
3945,Bevic Moussiti-Oko,2015-2017,USL Dunkerque
3946,Bevic Moussiti-Oko,2017-2019,Le Havre AC
3947,Bevic Moussiti-Oko,2019,US Quevilly-Rouen
3948,Bevic Moussiti-Oko,2019-2020,Le Mans FC
3949,Bevic Moussiti-Oko,2020-2023,AC Ajaccio
3950,Bevic Moussiti-Oko,2023-,MKE Ankaragücü
3951,Bevic Moussiti-Oko,2015,Congo -20 ans
3952,Bevic Moussiti-Oko,2019-,Congo
3953,Yoann Touzghar,1991-2004,FC Avignon
3954,Yoann Touzghar,2004-2005,AS Cannes
3955,Yoann Touzghar,2005-2010,RC Grasse
3956,Yoann Touzghar,2010-2013,Amiens SC
3957,Yoann Touzghar,2012-2013,RC Lens
3958,Yoann Touzghar,2013-2015,RC Lens
3959,Yoann Touzghar,2015-2016,Club africain
3960,Yoann Touzghar,2016-2017,AJ Auxerre
3961,Yoann Touzghar,2017-2018,FC Sochaux-Montbéliard
3962,Yoann Touzghar,2018-2022,ESTAC Troyes
3963,Yoann Touzghar,2022-,AC Ajaccio
3964,Yoann Touzghar,2015-2022,Tunisie
3965,Moussa Soumano,2021-2023,AC Ajaccio
3966,Moussa Soumano,2023-,AC Ajaccio
3967,Yanis Cimignani,2017-2020,AC Ajaccio
3968,Yanis Cimignani,2020-2023,AC Ajaccio
3969,Yanis Cimignani,2023-,FC Lugano
3970,Yanis Cimignani,2022,France -20 ans
3971,Qazim Laçi,2015-2018,Olympiakos
3972,Qazim Laçi,2016,APOEL Nicosie
3973,Qazim Laçi,2017,APO Levadiakos
3974,Qazim Laçi,2017-2018,AC Ajaccio
3975,Qazim Laçi,2018-2023,AC Ajaccio
3976,Qazim Laçi,2023-,Sparta Prague
3977,Qazim Laçi,2012,Albanie -17
3978,Qazim Laçi,2014,Albanie -19
3979,Qazim Laçi,2015-2017,Albanie espoirs
3980,Qazim Laçi,2020-,Albanie
3981,Moussa Djitte,2018-2019,FC Sion
3982,Moussa Djitte,2019-2021,Grenoble Foot 38
3983,Moussa Djitte,2021-,Austin FC
3984,Moussa Djitte,2023,AC Ajaccio
3985,Moussa Djitte,2023-,Bandırmaspor
3986,Moussa Djitte,2017,Sénégal -20 ans
3987,Gaëtan Courtet,2008-2010,FC Lorient
3988,Gaëtan Courtet,2010-2015,Stade de Reims
3989,Gaëtan Courtet,2015,Stade brestois
3990,Gaëtan Courtet,2015-2017,AJ Auxerre
3991,Gaëtan Courtet,2017-2020,FC Lorient
3992,Gaëtan Courtet,2019-2020,AC Ajaccio
3993,Gaëtan Courtet,2020-2022,AC Ajaccio
3994,Gaëtan Courtet,2022-,EA Guingamp
3995,Gaëtan Courtet,2013-2016,Bretagne
3996,Erik Palmer-Brown,2013-2017,Sporting Kansas City
3997,Erik Palmer-Brown,2016,FC Porto B
3998,Erik Palmer-Brown,2017,Swope Park Rangers
3999,Erik Palmer-Brown,2018-2022,Manchester City
4000,Erik Palmer-Brown,2018,KV Courtrai
4001,Erik Palmer-Brown,2018-2019,NAC Breda
4002,Erik Palmer-Brown,2019-2021,Austria Vienne
4003,Erik Palmer-Brown,2021-2022,ESTAC Troyes
4004,Erik Palmer-Brown,2022-,ESTAC Troyes
4005,Erik Palmer-Brown,2014-2017,États-Unis -20 ans
4006,Erik Palmer-Brown,2018-,États-Unis
4007,Yoann Salmier,2014-2019,RC Strasbourg
4008,Yoann Salmier,2018-2019,ESTAC Troyes
4009,Yoann Salmier,2019-2023,ESTAC Troyes
4010,Yoann Salmier,2023-,Le Havre AC
4011,Yoann Salmier,2016-,Guyane
4012,Mama Samba Baldé,2006-2007,
4013,Mama Samba Baldé,2007-2013,SU Sintrense
4014,Mama Samba Baldé,2013-2014,Sporting CP
4015,Mama Samba Baldé,2014- 2019,Sporting B
4016,Mama Samba Baldé,2017- 2019,CD Aves
4017,Mama Samba Baldé,2019-2021,Dijon FCO
4018,Mama Samba Baldé,2021-,ESTAC Troyes
4019,Mama Samba Baldé,2019-,Guinée-Bissau
4020,Gauthier Gallon,2015-2017,Nîmes Olympique
4021,Gauthier Gallon,2017-2019,US Orléans
4022,Gauthier Gallon,2019-2023,ESTAC Troyes
4023,Gauthier Gallon,2023-,Stade rennais FC
4024,Rominigue Kouamé,2008-2014,
4025,Rominigue Kouamé,2014-2016,AS Real Bamako
4026,Rominigue Kouamé,2017-2021,LOSC Lille
4027,Rominigue Kouamé,2018-2019,Paris FC
4028,Rominigue Kouamé,2019,Cercle Bruges
4029,Rominigue Kouamé,2020-2021,ESTAC Troyes
4030,Rominigue Kouamé,2021-,ES Troyes AC
4031,Rominigue Kouamé,2016-,Mali
4032,Rony Lopes,2006-2011,Benfica Lisbonne
4033,Rony Lopes,2011-2013,Manchester City
4034,Rony Lopes,2013-2015,Manchester City
4035,Rony Lopes,2014-2015,LOSC Lille
4036,Rony Lopes,2015-2019,AS Monaco
4037,Rony Lopes,2016-2017,LOSC Lille
4038,Rony Lopes,2019-,Séville FC
4039,Rony Lopes,2020-2021,OGC Nice
4040,Rony Lopes,2021-2022,Olympiakos
4041,Rony Lopes,2022-2023,ESTAC Troyes
4042,Rony Lopes,2011-2012,Portugal -17 ans
4043,Rony Lopes,2012,Portugal -18 ans
4044,Rony Lopes,2012-2014,Portugal -19 ans
4045,Rony Lopes,2015,Portugal -20 ans
4046,Rony Lopes,2014-2017,Portugal espoirs
4047,Rony Lopes,2017-,Portugal
4048,Thierno Balde,2010-2015,US Sénart-Moissy
4049,Thierno Balde,2015-2021,Paris Saint-Germain
4050,Thierno Balde,2021-2022,Paris Saint-Germain
4051,Thierno Balde,2021-2022,Le Havre AC
4052,Thierno Balde,2022-,ESTAC Troyes
4053,Thierno Balde,2021-,France -20 ans
4054,Xavier Chavalerin,2012-2015,Tours FC
4055,Xavier Chavalerin,2015-2017,Red Star FC
4056,Xavier Chavalerin,2017-2021,Stade de Reims
4057,Xavier Chavalerin,2021-,ESTAC Troyes
4058,Wilson Odobert,2017-2022,Paris SG
4059,Wilson Odobert,2022-,ESTAC Troyes
4060,Wilson Odobert,2019,France -16 ans
4061,Wilson Odobert,2022,France -18 ans
4062,Wilson Odobert,2022-,France -19 ans
4063,Wilson Odobert,2023-,France -20 ans
4064,Yasser Larouci,2017-2020,Liverpool FC
4065,Yasser Larouci,2020-2021,Liverpool FC
4066,Yasser Larouci,2021-,ESTAC Troyes
4067,Yasser Larouci,2022-,France espoirs
4068,Andreas Bruus,2017-2022,Brøndby IF
4069,Andreas Bruus,2018-2019,FC Roskilde
4070,Andreas Bruus,2022-,ESTAC Troyes
4071,Andreas Bruus,2014-2015,Danemark -16 ans
4072,Andreas Bruus,2015-2016,Danemark -17 ans
4073,Andreas Bruus,2018-2019,Danemark -18 ans
4074,Jackson Porozo,2016-2017,Manta FC
4075,Jackson Porozo,2018-2020,Santos FC
4076,Jackson Porozo,2017-2018,Manta FC
4077,Jackson Porozo,2018-2020,Santos FC
4078,Jackson Porozo,2020-2022,Boavista FC
4079,Jackson Porozo,2022-,ESTAC Troyes
4080,Jackson Porozo,2017,Équateur -17 ans
4081,Jackson Porozo,2018-2019,Équateur -20 ans
4082,Jackson Porozo,2020,Équateur -23 ans
4083,Jackson Porozo,2019-,Équateur
4084,Adil Rami,2003-2006,ES Fréjus
