 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Brandon Baiye,be BEL,MF,22-137,7,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,Matches,7e3e825e
Souleymane Cissé,fr FRA,DF,20-278,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,ff4d0258
Jason Berthomier,fr FRA,MF,33-127,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,03e91055
Jean-Claude Billong,cm CMR,MF,29-136,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a3e1d20d
Stan Berkani,dz ALG,MF,19-273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,7dd28b06
Sofyan Chader,fr FRA,MF,23-001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,99d29d38
Ouparine Djoco,sn SEN,GK,25-021,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,62124972
Wabo Kamdem,fr FRA,MF,20-210,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0167017b
Lucas Margueron,fr FRA,GK,22-090,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,af66b89c
Giovani Versini,fr FRA,FW,19-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ba046af6
Jordan Ferri,fr FRA,MF,31-062,30,29,2460,27.3,0,2,2,0,0,0,6,1,0.4,0.4,2.9,3.3,33,187,36,0.00,0.07,0.07,0.00,0.07,0.01,0.11,0.12,0.01,0.12,Matches,375622c5
Christopher Jullien,fr FRA,DF,30-052,28,28,2515,27.9,0,2,2,0,0,0,5,0,1.8,1.8,1.1,2.9,2,49,6,0.00,0.07,0.07,0.00,0.07,0.07,0.04,0.10,0.07,0.10,Matches,f323d995
Sepe Elye Wahi,fr FRA,FW,20-131,30,27,2298,25.5,17,4,21,16,1,1,8,1,11.2,10.4,2.5,12.9,52,24,170,0.67,0.16,0.82,0.63,0.78,0.44,0.10,0.54,0.41,0.51,Matches,0d7b6576
Téji Savanier,fr FRA,MF,31-142,27,27,2296,25.5,10,2,12,5,5,5,4,3,7.4,3.4,4.9,8.3,43,191,105,0.39,0.08,0.47,0.20,0.27,0.29,0.19,0.48,0.13,0.32,Matches,6bde367b
Falaye Sacko,ml MLI,DF,28-012,31,26,2291,25.5,0,3,3,0,0,0,3,0,0.3,0.3,1.1,1.4,41,67,65,0.00,0.12,0.12,0.00,0.12,0.01,0.04,0.06,0.01,0.06,Matches,6388e356
Arnaud Nordin,fr FRA,FW,24-330,32,26,2043,22.7,7,3,10,7,0,0,3,0,5.0,5.0,2.2,7.2,83,56,144,0.31,0.13,0.44,0.31,0.44,0.22,0.10,0.32,0.22,0.32,Matches,7b9a9e25
Joris Chotard,fr FRA,MF,21-231,31,22,2101,23.3,0,4,4,0,0,0,4,0,0.3,0.3,2.6,2.9,7,84,25,0.00,0.17,0.17,0.00,0.17,0.01,0.11,0.12,0.01,0.12,Matches,7909ffa4
Faitout Maouassa,fr FRA,FWDF,24-311,29,21,1729,19.2,4,5,9,4,0,0,0,0,2.1,2.1,2.2,4.3,37,43,95,0.21,0.26,0.47,0.21,0.47,0.11,0.11,0.23,0.11,0.23,Matches,e54a9890
